subid,time_step,demand,predicted_demand,capacity,reward,sla_violation
1,15,6.819802432475449,59.111391985102514,5.0,-10.0,1
1,16,6.200651784131123,52.61270723962394,5.0,-10.5,1
1,17,11.656477896984038,45.45853820991447,5.5,-10.0,1
1,18,21.572603135349947,36.91813097689315,5.5,-10.5,1
1,19,6.556679553560261,36.923765029053676,6.0,-10.0,1
1,20,24.86687169805054,26.12491369294916,6.0,-10.5,1
1,21,7.893327781725797,20.533428302036835,6.5,-10.0,1
1,22,6.169390412238886,20.53747673153231,6.5,-0.8306095877611144,0
1,23,5.767877998298031,19.410186588294096,7.0,-1.2321220017019687,0
1,24,5.719333507165363,13.797322146966295,7.0,-1.7806664928346372,0
1,25,6.052169399436599,10.530787390993058,7.5,-1.4478306005634014,0
1,26,5.575087745715356,10.52794172330371,7.5,-2.424912254284644,0
1,27,5.239996481383006,10.383126177786902,8.0,-2.760003518616994,0
1,28,5.860166369363204,10.351915014766512,8.0,-2.6398336306367964,0
1,29,6.182544019861076,9.850137742696905,8.5,-2.3174559801389236,0
1,30,12.598428788003943,9.027505094190191,8.5,-10.5,1
1,31,44.44480130747353,12.50058292163224,9.0,-10.0,1
1,32,18.22683122764084,11.891912545178018,9.0,-10.5,1
1,33,6.607061442026337,11.774004797372235,9.5,-2.892938557973663,0
1,34,7.013414870242267,11.851373706022544,9.5,-2.9865851297577333,0
1,35,5.88168889289353,11.861806371360466,10.0,-4.11831110710647,0
1,36,5.891616710098364,11.877598998295987,10.0,-4.608383289901636,0
1,37,7.97053869610777,12.053449517157516,10.5,-2.52946130389223,0
1,38,72.1407487716361,18.155301777866917,10.5,-10.5,1
1,39,5.482168222019563,18.177500854091935,11.0,-5.517831777980437,0
1,40,5.653660142194286,18.15857111660145,11.0,-5.846339857805714,0
1,41,5.498114510038423,18.09583174486771,11.5,-6.001885489961577,0
1,42,4.830313065494158,17.383754470304307,11.5,-7.169686934505842,0
1,43,5.277577982771209,13.79342566553993,12.0,-6.722422017228791,0
2,0,154.0114582772018,154.0114582772018,1.0,-10.5,1
2,1,166.24664707257844,166.24664707257844,1.5,-10.0,1
2,2,165.747770631669,165.747770631669,1.5,-10.5,1
2,3,62.27154899146103,62.27154899146103,2.0,-10.0,1
2,4,7.397439398636309,7.397439398636309,2.0,-10.5,1
2,5,8.876661826646396,8.876661826646396,2.5,-10.0,1
2,6,7.989972853409199,7.989972853409199,2.5,-10.5,1
2,7,16.85209644189488,16.85209644189488,3.0,-10.0,1
